timestamp,device_id,event_type,user,src_ip,vpn_gateway,auth_method,session_duration_sec,bytes_transferred,status,failure_reason
2026-03-19 19:10:52,FGT-01,AUTH_SUCCESS,admin,59.44.9.116,vpn-gw-01,password,21840,1623745,success,
2026-03-19 03:37:51,FGT-01,SESSION_END,fmartinez,123.253.186.7,vpn-gw-02,password,28510,2657128,success,
2026-03-19 10:33:54,FGT-01,AUTH_SUCCESS,fmartinez,51.229.214.116,vpn-gw-02,password,25728,3946460,success,
2026-03-19 17:18:18,FGT-03,SESSION_END,fmartinez,59.155.166.248,vpn-gw-01,MFA,4355,1736495,success,
2026-03-19 08:51:57,FGT-02,SESSION_END,fmartinez,186.90.89.135,vpn-gw-01,MFA,5106,688926,success,
2026-03-19 23:29:53,FGT-01,AUTH_SUCCESS,agarcia,169.170.227.69,vpn-gw-02,certificate,22930,2547153,success,
2026-03-19 22:25:29,FGT-03,AUTH_FAIL,jsmith,80.128.194.178,vpn-gw-02,certificate,0,0,fail,wrong_password
2026-03-19 18:36:49,FGT-03,AUTH_SUCCESS,admin,202.155.0.159,vpn-gw-02,certificate,7004,2220539,success,
2026-03-19 12:25:39,FGT-01,SESSION_START,jsmith,185.179.115.158,vpn-gw-02,MFA,27141,1170363,success,
2026-03-19 01:11:31,FGT-03,SESSION_END,fmartinez,111.221.124.179,vpn-gw-02,MFA,3452,1036085,success,
2026-03-19 00:23:45,FGT-01,AUTH_SUCCESS,mlopez,43.125.222.14,vpn-gw-01,certificate,12688,1910008,success,
2026-03-19 06:08:27,FGT-03,SESSION_END,admin,66.86.18.239,vpn-gw-01,password,20259,303452,success,
2026-03-19 19:05:46,FGT-02,AUTH_SUCCESS,agarcia,83.177.138.90,vpn-gw-01,password,18971,3178262,success,
2026-03-19 13:50:57,FGT-02,AUTH_SUCCESS,mlopez,176.91.236.27,vpn-gw-01,password,22283,1193341,success,
2026-03-19 15:50:36,FGT-01,SESSION_START,jsmith,138.241.192.249,vpn-gw-01,certificate,20223,3056801,success,
2026-03-19 21:18:11,FGT-02,SESSION_END,agarcia,52.41.144.224,vpn-gw-02,MFA,18480,3806175,success,
2026-03-19 16:15:31,FGT-03,AUTH_SUCCESS,jsmith,134.147.75.10,vpn-gw-02,MFA,432,1061056,success,
2026-03-19 01:19:49,FGT-03,AUTH_SUCCESS,mlopez,96.59.123.139,vpn-gw-02,certificate,6794,4273926,success,
2026-03-19 12:05:40,FGT-03,AUTH_SUCCESS,svc-account,133.250.139.35,vpn-gw-01,certificate,28457,1082151,success,
2026-03-19 03:08:45,FGT-03,AUTH_SUCCESS,svc-account,222.41.109.153,vpn-gw-01,password,15473,1792714,success,
2026-03-19 19:08:00,FGT-01,AUTH_SUCCESS,agarcia,31.15.188.223,vpn-gw-01,MFA,20664,3336715,success,
2026-03-19 18:33:04,FGT-03,AUTH_SUCCESS,svc-account,3.186.130.71,vpn-gw-01,MFA,16627,3170680,success,
