timestamp,device_id,event_type,user,src_ip,vpn_gateway,auth_method,session_duration_sec,bytes_transferred,status,failure_reason
2026-03-04 12:42:55,FGT-02,AUTH_SUCCESS,jsmith,31.22.56.25,vpn-gw-01,password,666,2517176,success,
2026-03-04 08:13:11,FGT-03,SESSION_END,mlopez,178.108.177.183,vpn-gw-02,password,25932,3884493,success,
2026-03-04 23:12:11,FGT-03,AUTH_SUCCESS,mlopez,112.3.196.200,vpn-gw-02,certificate,28238,3456782,success,
2026-03-04 14:40:54,FGT-02,AUTH_SUCCESS,svc-account,35.188.65.60,vpn-gw-01,certificate,2781,829512,success,
2026-03-04 08:43:04,FGT-02,AUTH_SUCCESS,admin,85.28.106.70,vpn-gw-01,password,10176,2894889,success,
2026-03-04 20:01:15,FGT-03,SESSION_END,agarcia,191.60.115.184,vpn-gw-02,MFA,9888,4094134,success,
2026-03-04 22:26:23,FGT-01,AUTH_SUCCESS,admin,76.132.148.83,vpn-gw-01,certificate,3475,4003947,success,
2026-03-04 00:34:50,FGT-02,AUTH_SUCCESS,agarcia,59.250.177.163,vpn-gw-02,certificate,12365,3684020,success,
2026-03-04 04:29:24,FGT-03,SESSION_START,svc-account,85.73.52.243,vpn-gw-01,MFA,19592,805324,success,
2026-03-04 17:33:47,FGT-01,SESSION_START,mlopez,149.124.195.74,vpn-gw-02,MFA,6518,2622297,success,
2026-03-04 12:14:41,FGT-01,AUTH_FAIL,jsmith,40.11.233.82,vpn-gw-01,MFA,0,0,fail,blocked_ip
2026-03-04 17:55:18,FGT-03,AUTH_SUCCESS,mlopez,170.224.88.202,vpn-gw-02,password,21904,1219761,success,
2026-03-04 08:29:12,FGT-02,SESSION_END,mlopez,113.47.16.29,vpn-gw-02,certificate,16922,147254,success,
2026-03-04 17:02:31,FGT-01,SESSION_END,fmartinez,170.29.144.17,vpn-gw-02,MFA,22900,3292235,success,
2026-03-04 07:32:51,FGT-03,SESSION_START,mlopez,91.197.241.84,vpn-gw-01,MFA,20555,3452911,success,
2026-03-04 18:47:15,FGT-03,AUTH_SUCCESS,admin,28.29.193.69,vpn-gw-02,certificate,4152,1364173,success,
2026-03-04 14:07:27,FGT-01,AUTH_SUCCESS,svc-account,58.154.119.177,vpn-gw-01,MFA,27645,4173127,success,
2026-03-04 00:15:33,FGT-03,AUTH_SUCCESS,svc-account,12.83.63.138,vpn-gw-01,password,19888,3055288,success,
