timestamp,device_id,event_type,user,src_ip,vpn_gateway,auth_method,session_duration_sec,bytes_transferred,status,failure_reason
2026-03-21 02:25:58,FGT-01,AUTH_SUCCESS,mlopez,189.75.166.152,vpn-gw-01,MFA,2426,1437634,success,
2026-03-21 03:35:58,FGT-01,AUTH_SUCCESS,agarcia,204.216.143.22,vpn-gw-01,password,8427,4125960,success,
2026-03-21 10:52:14,FGT-02,AUTH_SUCCESS,svc-account,28.83.253.98,vpn-gw-01,MFA,12688,1688019,success,
2026-03-21 00:44:19,FGT-01,AUTH_SUCCESS,admin,29.19.120.174,vpn-gw-01,MFA,11154,2587738,success,
2026-03-21 02:52:20,FGT-02,AUTH_SUCCESS,agarcia,74.7.84.186,vpn-gw-02,password,23311,1758426,success,
2026-03-21 01:50:38,FGT-02,SESSION_END,jsmith,66.71.71.112,vpn-gw-01,password,22428,2896524,success,
2026-03-21 17:01:53,FGT-01,AUTH_SUCCESS,svc-account,7.95.4.173,vpn-gw-01,password,13082,2269033,success,
2026-03-21 21:20:34,FGT-03,SESSION_START,fmartinez,160.33.91.201,vpn-gw-02,MFA,16845,3647543,success,
2026-03-21 11:28:07,FGT-01,SESSION_START,agarcia,168.220.50.127,vpn-gw-02,password,15386,2523517,success,
2026-03-21 07:58:07,FGT-03,AUTH_FAIL,fmartinez,51.9.194.239,vpn-gw-02,password,0,0,fail,blocked_ip
2026-03-21 18:55:12,FGT-01,AUTH_FAIL,mlopez,160.58.153.93,vpn-gw-02,MFA,0,0,fail,timeout
2026-03-21 16:38:57,FGT-02,AUTH_SUCCESS,admin,66.216.170.125,vpn-gw-02,MFA,8071,662693,success,
2026-03-21 21:52:19,FGT-02,SESSION_END,jsmith,149.159.245.23,vpn-gw-02,MFA,4350,522431,success,
2026-03-21 01:24:24,FGT-02,SESSION_START,svc-account,108.247.217.99,vpn-gw-02,MFA,10380,2416010,success,
2026-03-21 04:16:32,FGT-01,SESSION_START,mlopez,127.238.133.100,vpn-gw-02,password,7148,3299679,success,
2026-03-21 18:01:14,FGT-01,AUTH_FAIL,jsmith,208.239.48.196,vpn-gw-01,password,0,0,fail,timeout
2026-03-21 07:06:23,FGT-03,AUTH_SUCCESS,fmartinez,141.118.68.30,vpn-gw-02,certificate,10857,3983472,success,
2026-03-21 10:43:30,FGT-01,AUTH_FAIL,svc-account,159.102.140.252,vpn-gw-01,password,0,0,fail,timeout
2026-03-21 15:06:22,FGT-03,AUTH_FAIL,admin,79.20.11.28,vpn-gw-02,password,0,0,fail,timeout
2026-03-21 10:20:07,FGT-02,SESSION_START,agarcia,4.76.244.135,vpn-gw-02,MFA,14091,4706241,success,
2026-03-21 06:04:07,FGT-03,SESSION_END,agarcia,70.38.245.149,vpn-gw-01,certificate,5317,2430139,success,
2026-03-21 10:05:14,FGT-02,SESSION_START,mlopez,5.127.168.4,vpn-gw-01,password,21212,689835,success,
2026-03-21 04:42:57,FGT-01,AUTH_FAIL,fmartinez,37.96.238.225,vpn-gw-02,password,0,0,fail,blocked_ip
2026-03-21 03:58:47,FGT-02,SESSION_START,jsmith,91.45.154.153,vpn-gw-01,password,27179,3065685,success,
2026-03-21 02:36:10,FGT-01,SESSION_START,agarcia,211.100.232.77,vpn-gw-02,MFA,9486,3548699,success,
2026-03-21 00:28:07,FGT-02,AUTH_SUCCESS,admin,120.138.228.181,vpn-gw-02,MFA,20571,3905399,success,
2026-03-21 23:46:18,FGT-02,AUTH_SUCCESS,agarcia,85.201.113.235,vpn-gw-01,certificate,27843,3558010,success,
2026-03-21 21:20:52,FGT-01,AUTH_SUCCESS,admin,204.131.56.32,vpn-gw-01,password,8320,608017,success,
2026-03-21 00:58:56,FGT-03,SESSION_START,fmartinez,212.217.240.150,vpn-gw-02,certificate,22223,2097114,success,
2026-03-21 05:02:45,FGT-01,AUTH_SUCCESS,fmartinez,177.197.130.69,vpn-gw-02,MFA,16268,902345,success,
2026-03-21 16:40:34,FGT-02,AUTH_SUCCESS,jsmith,91.147.123.137,vpn-gw-02,password,6890,2872104,success,
2026-03-21 00:26:57,FGT-01,SESSION_START,fmartinez,43.47.59.3,vpn-gw-01,MFA,4823,3101673,success,
2026-03-21 08:09:55,FGT-02,AUTH_FAIL,fmartinez,144.0.148.4,vpn-gw-02,certificate,0,0,fail,wrong_password
2026-03-21 02:41:27,FGT-03,AUTH_FAIL,admin,193.126.154.253,vpn-gw-02,certificate,0,0,fail,expired_cert
2026-03-21 22:58:49,FGT-01,AUTH_FAIL,svc-account,36.122.48.35,vpn-gw-01,certificate,0,0,fail,wrong_password
2026-03-21 15:14:18,FGT-03,SESSION_END,admin,139.198.152.74,vpn-gw-01,password,1532,4234003,success,
2026-03-21 13:01:57,FGT-01,SESSION_START,jsmith,156.98.140.177,vpn-gw-01,password,138,1743767,success,
2026-03-21 06:35:05,FGT-02,AUTH_FAIL,admin,157.90.185.243,vpn-gw-01,certificate,0,0,fail,wrong_password
2026-03-21 02:43:02,FGT-02,SESSION_START,admin,184.254.114.163,vpn-gw-02,certificate,16428,1676261,success,
2026-03-21 02:32:29,FGT-01,AUTH_SUCCESS,admin,153.231.15.133,vpn-gw-01,certificate,25612,2312643,success,
2026-03-21 17:21:37,FGT-02,SESSION_END,fmartinez,12.194.73.112,vpn-gw-01,password,25944,3908022,success,
2026-03-21 01:24:02,FGT-01,AUTH_SUCCESS,jsmith,181.99.126.11,vpn-gw-01,certificate,20716,3073706,success,
2026-03-21 11:49:16,FGT-03,SESSION_START,fmartinez,99.81.83.173,vpn-gw-02,MFA,26235,3420297,success,
2026-03-21 23:43:30,FGT-03,SESSION_START,mlopez,140.130.110.97,vpn-gw-01,password,11946,2858730,success,
2026-03-21 00:15:02,FGT-02,AUTH_SUCCESS,jsmith,175.192.78.76,vpn-gw-02,certificate,14855,2179826,success,
2026-03-21 16:16:33,FGT-03,AUTH_FAIL,mlopez,56.37.254.170,vpn-gw-01,password,0,0,fail,blocked_ip
2026-03-21 11:11:48,FGT-03,AUTH_SUCCESS,agarcia,98.56.31.113,vpn-gw-01,password,25914,4298678,success,
2026-03-21 18:08:46,FGT-03,AUTH_SUCCESS,fmartinez,107.41.230.45,vpn-gw-02,certificate,23770,2972308,success,
2026-03-21 08:32:22,FGT-01,AUTH_SUCCESS,jsmith,149.205.68.236,vpn-gw-02,MFA,8713,2182530,success,
2026-03-21 07:51:03,FGT-01,AUTH_FAIL,svc-account,90.111.87.181,vpn-gw-01,password,0,0,fail,blocked_ip
2026-03-21 20:48:04,FGT-03,SESSION_END,jsmith,110.24.3.15,vpn-gw-01,password,18057,3241375,success,
