timestamp,account_id,interface_id,src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,action,log_status
2026-03-23 15:04:09,123456789012,eni-def456,10.111.149.27,10.99.178.148,56457,443,17,4841,9532696,ACCEPT,OK
2026-03-23 18:19:48,123456789012,eni-def456,10.20.199.165,41.68.78.127,33277,22,6,608,9792432,REJECT,OK
2026-03-23 06:09:17,123456789012,eni-ghi789,139.129.191.93,10.219.36.88,34613,22,6,2989,6352597,REJECT,OK
2026-03-23 04:50:27,123456789012,eni-def456,10.222.138.40,192.127.194.165,50674,22,6,5477,7729207,REJECT,OK
2026-03-23 21:02:55,123456789012,eni-abc123,80.30.15.81,10.37.154.148,8138,80,1,3896,76130,ACCEPT,OK
2026-03-23 04:11:54,123456789012,eni-abc123,10.16.82.9,36.83.86.237,5872,80,1,1386,7860476,ACCEPT,OK
2026-03-23 21:11:59,123456789012,eni-abc123,129.253.142.53,166.61.56.250,33484,443,6,4974,8536196,ACCEPT,OK
2026-03-23 20:48:13,123456789012,eni-def456,10.111.4.129,10.109.250.105,23292,80,6,5179,7416471,ACCEPT,OK
2026-03-23 14:17:10,123456789012,eni-abc123,2.99.161.108,223.86.87.219,43162,6379,6,5227,6361142,REJECT,OK
2026-03-23 07:20:58,123456789012,eni-def456,51.79.208.45,10.171.254.216,40383,3306,17,4112,1902245,ACCEPT,OK
2026-03-23 17:01:08,123456789012,eni-def456,212.56.183.135,10.64.76.28,62334,3306,17,1292,1793942,ACCEPT,OK
2026-03-23 06:48:25,123456789012,eni-ghi789,10.16.159.58,109.236.174.49,21677,22,1,578,9518000,ACCEPT,OK
2026-03-23 18:27:06,123456789012,eni-abc123,10.209.43.46,190.156.196.149,22782,22,17,5279,2882700,ACCEPT,OK
2026-03-23 01:18:38,123456789012,eni-ghi789,10.93.198.198,10.187.38.86,7262,6379,6,5612,2936179,ACCEPT,OK
2026-03-23 10:15:48,123456789012,eni-abc123,10.123.58.165,10.243.212.145,52553,3306,17,3737,2027652,REJECT,OK
2026-03-23 15:11:16,123456789012,eni-ghi789,166.221.185.226,10.188.24.74,14517,6379,17,4963,1689049,ACCEPT,OK
2026-03-23 20:58:54,123456789012,eni-abc123,57.129.185.15,10.108.137.194,60516,22,6,6535,6929664,REJECT,OK
2026-03-23 17:37:56,123456789012,eni-abc123,10.21.222.34,10.15.173.203,5323,443,1,3891,7937851,REJECT,OK
2026-03-23 10:11:47,123456789012,eni-ghi789,4.66.189.124,10.163.249.70,46102,22,1,1608,38984,ACCEPT,OK
2026-03-23 11:06:41,123456789012,eni-abc123,159.209.69.253,13.59.161.87,11669,80,6,9944,6813155,REJECT,OK
2026-03-23 03:38:12,123456789012,eni-def456,128.66.152.151,10.109.218.126,31935,5432,1,8186,809186,ACCEPT,OK
2026-03-23 19:55:25,123456789012,eni-abc123,10.34.54.149,10.134.90.66,60994,22,17,3404,4357995,ACCEPT,OK
2026-03-23 04:12:40,123456789012,eni-ghi789,10.140.61.163,49.101.69.174,31256,22,6,4434,4289720,ACCEPT,OK
2026-03-23 04:32:22,123456789012,eni-def456,10.87.120.94,10.119.128.219,47752,3306,6,5859,4391179,ACCEPT,OK
2026-03-23 21:42:07,123456789012,eni-ghi789,10.224.184.28,10.159.145.146,20487,3306,1,2980,4633158,ACCEPT,OK
2026-03-23 07:08:24,123456789012,eni-def456,10.6.200.60,10.68.255.47,45538,3306,6,9498,2090693,REJECT,OK
2026-03-23 17:00:24,123456789012,eni-def456,10.137.7.193,10.76.133.144,47691,3306,17,9583,6023243,ACCEPT,OK
2026-03-23 18:53:06,123456789012,eni-ghi789,10.82.129.102,10.63.175.49,33368,6379,1,6774,5183805,ACCEPT,OK
2026-03-23 20:49:34,123456789012,eni-def456,10.18.28.31,10.89.251.191,55823,6379,17,6305,9994366,ACCEPT,OK
2026-03-23 08:00:45,123456789012,eni-abc123,117.210.170.139,10.225.224.179,20880,5432,17,2014,6750398,ACCEPT,OK
2026-03-23 13:21:21,123456789012,eni-def456,10.152.230.211,118.23.72.68,35886,3306,1,3303,5811280,ACCEPT,OK
2026-03-23 06:30:37,123456789012,eni-abc123,10.252.103.179,10.115.3.166,20616,443,17,7356,8314453,REJECT,OK
2026-03-23 06:47:55,123456789012,eni-ghi789,10.146.64.230,172.202.179.10,1362,6379,6,9417,2353572,ACCEPT,OK
2026-03-23 05:48:14,123456789012,eni-def456,10.142.75.220,208.137.247.180,39322,80,6,2927,209490,ACCEPT,OK
2026-03-23 06:36:37,123456789012,eni-ghi789,10.56.45.44,10.239.196.183,55743,3306,17,9152,4464412,ACCEPT,OK
2026-03-23 02:28:22,123456789012,eni-def456,157.5.173.181,32.150.72.110,5906,3306,17,6695,3980550,ACCEPT,OK
2026-03-23 07:18:57,123456789012,eni-def456,160.11.80.176,10.233.5.147,22848,80,17,9814,7983665,ACCEPT,OK
2026-03-23 05:33:15,123456789012,eni-ghi789,10.21.150.161,10.223.181.85,18750,5432,17,4967,6528637,ACCEPT,OK
2026-03-23 01:55:46,123456789012,eni-def456,128.13.192.235,19.70.203.252,19235,80,1,791,1549436,ACCEPT,OK
2026-03-23 04:53:34,123456789012,eni-def456,10.231.149.91,10.83.25.220,27781,6379,17,9468,5481478,ACCEPT,OK
2026-03-23 19:32:02,123456789012,eni-abc123,47.239.86.118,16.202.24.221,57403,443,17,9802,6271890,REJECT,OK
2026-03-23 12:58:37,123456789012,eni-abc123,10.79.71.93,10.174.128.177,14420,5432,6,6566,2343138,ACCEPT,OK
2026-03-23 00:33:00,123456789012,eni-abc123,10.255.212.129,10.109.194.165,55407,443,6,2145,7689626,ACCEPT,OK
2026-03-23 07:03:19,123456789012,eni-ghi789,102.79.236.193,10.66.13.167,27204,80,17,1030,5720958,REJECT,OK
