timestamp,account_id,interface_id,src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,action,log_status
2026-02-27 06:04:19,123456789012,eni-ghi789,10.228.238.250,10.46.98.46,25026,6379,17,1177,8186542,REJECT,OK
2026-02-27 23:40:09,123456789012,eni-def456,10.8.83.52,80.98.205.191,27554,443,1,4748,8536119,ACCEPT,OK
2026-02-27 22:21:02,123456789012,eni-ghi789,10.14.243.70,10.23.203.192,56813,6379,1,9498,4785030,REJECT,OK
2026-02-27 05:24:29,123456789012,eni-abc123,172.210.1.252,10.106.73.117,64480,22,6,5452,9225774,ACCEPT,OK
2026-02-27 09:33:31,123456789012,eni-def456,10.89.199.154,128.73.225.36,19257,22,17,9853,702290,ACCEPT,OK
2026-02-27 05:09:33,123456789012,eni-ghi789,10.114.110.82,3.193.21.109,33765,443,1,2296,8199948,ACCEPT,OK
2026-02-27 16:52:16,123456789012,eni-ghi789,10.16.44.206,10.206.243.158,18069,443,17,4824,956985,ACCEPT,OK
2026-02-27 05:48:18,123456789012,eni-abc123,48.239.164.180,10.56.185.77,23227,5432,6,351,9499307,REJECT,OK
2026-02-27 07:20:00,123456789012,eni-ghi789,10.58.241.41,196.243.57.224,1762,5432,17,283,8782785,ACCEPT,OK
2026-02-27 10:53:05,123456789012,eni-ghi789,101.87.93.227,10.1.167.236,19804,443,6,8375,4704295,REJECT,OK
2026-02-27 05:38:21,123456789012,eni-ghi789,10.43.134.154,10.117.94.225,11587,80,1,3312,7704439,ACCEPT,OK
2026-02-27 12:49:45,123456789012,eni-def456,210.27.22.249,10.184.8.113,12767,22,17,5230,7438824,REJECT,OK
2026-02-27 23:18:32,123456789012,eni-abc123,10.243.151.201,167.0.82.95,12084,5432,6,8797,8873876,ACCEPT,OK
2026-02-27 10:11:41,123456789012,eni-def456,10.141.160.148,51.177.214.42,5356,3306,6,6817,700795,ACCEPT,OK
2026-02-27 08:04:35,123456789012,eni-abc123,48.246.231.35,10.237.73.251,22183,80,6,5215,7794499,ACCEPT,OK
2026-02-27 14:08:15,123456789012,eni-def456,223.225.201.101,10.8.53.107,58810,5432,17,9067,6915060,REJECT,OK
2026-02-27 02:40:46,123456789012,eni-abc123,10.228.184.161,10.25.45.38,10868,443,6,5422,1202925,REJECT,OK
2026-02-27 03:55:46,123456789012,eni-ghi789,200.184.112.63,10.234.223.190,28545,22,6,1723,1955714,ACCEPT,OK
2026-02-27 14:55:25,123456789012,eni-abc123,29.228.64.227,44.44.142.196,52135,5432,17,3832,6196335,ACCEPT,OK
2026-02-27 12:36:24,123456789012,eni-abc123,10.31.130.15,10.72.127.27,14547,3306,6,4251,5307078,REJECT,OK
2026-02-27 09:14:46,123456789012,eni-ghi789,120.27.70.176,10.54.222.55,21334,22,17,1962,615945,REJECT,OK
2026-02-27 03:29:35,123456789012,eni-abc123,10.159.35.31,10.9.236.27,43258,6379,1,209,6032909,ACCEPT,OK
2026-02-27 22:27:02,123456789012,eni-def456,10.176.116.89,7.147.11.204,19079,3306,1,6850,7191796,ACCEPT,OK
2026-02-27 23:24:08,123456789012,eni-abc123,10.170.44.37,39.62.94.149,13609,6379,1,3250,6845245,ACCEPT,OK
2026-02-27 11:14:29,123456789012,eni-ghi789,10.34.2.189,130.177.87.147,41379,443,17,9892,7192108,REJECT,OK
2026-02-27 10:24:42,123456789012,eni-def456,154.235.0.37,81.135.63.201,1736,80,1,2529,9037635,REJECT,OK
2026-02-27 13:24:39,123456789012,eni-abc123,10.168.150.101,10.233.52.114,39454,6379,1,969,2811638,ACCEPT,OK
2026-02-27 15:30:51,123456789012,eni-abc123,10.16.92.124,10.22.202.170,26222,80,1,8724,9013640,REJECT,OK
2026-02-27 17:46:41,123456789012,eni-abc123,10.158.156.235,11.80.17.70,34662,22,6,4684,9260936,ACCEPT,OK
2026-02-27 21:29:07,123456789012,eni-abc123,10.48.188.190,10.116.156.9,8115,6379,1,394,9885147,ACCEPT,OK
2026-02-27 07:13:54,123456789012,eni-def456,10.98.42.157,10.227.23.187,52401,443,17,5334,9139295,ACCEPT,OK
2026-02-27 04:05:41,123456789012,eni-abc123,10.218.63.222,10.38.17.175,9555,3306,1,597,8936453,ACCEPT,OK
2026-02-27 05:06:50,123456789012,eni-def456,84.98.205.136,10.200.150.239,37479,3306,17,4388,9659,ACCEPT,OK
2026-02-27 12:58:41,123456789012,eni-ghi789,10.139.82.50,175.248.16.208,16157,5432,17,3012,234317,REJECT,OK
2026-02-27 05:23:12,123456789012,eni-ghi789,3.107.241.2,9.167.90.124,45633,6379,1,5670,3029684,ACCEPT,OK
