timestamp,device_id,action,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,duration_sec,severity,policy_name,country_src,country_dst
2026-03-12 17:49:15,FGT-03,DROP,10.0.1.20,10.191.113.107,45107,80,ICMP,272049,262981,988,medium,internal-only,KP,GB
2026-03-12 09:51:00,FGT-01,ALLOW,31.184.238.128,83.161.140.15,48943,443,TCP,302798,689218,1356,medium,vpn-split,RU,US
2026-03-12 20:34:24,FGT-02,ALLOW,81.24.72.156,10.22.193.226,4940,3389,TCP,316031,744454,1953,low,internal-only,MX,BR
2026-03-12 19:09:08,FGT-02,DROP,45.33.32.156,10.186.204.225,50128,80,UDP,462700,732709,689,medium,internet-access,IN,DE
2026-03-12 04:27:42,FGT-03,RESET,109.201.133.195,113.108.232.142,26419,53,ICMP,363655,14990,459,low,internal-only,BR,KP
2026-03-12 14:01:59,FGT-02,ALLOW,21.64.144.5,150.221.247.141,54874,445,UDP,80455,374645,1730,low,vpn-split,IN,GB
2026-03-12 08:17:52,FGT-03,DENY,91.108.4.12,10.83.187.99,21287,53,UDP,341360,499487,1208,low,internal-only,CN,CN
2026-03-12 03:12:19,FGT-03,ALLOW,77.88.55.60,25.37.198.49,60835,445,TCP,191428,127215,3293,high,vpn-split,CN,RU
2026-03-12 19:04:04,FGT-01,ALLOW,21.64.144.5,10.77.151.152,4635,443,TCP,71312,683599,1745,low,dmz-policy,CN,IN
2026-03-12 03:40:45,FGT-01,DENY,45.33.32.156,107.38.103.124,39127,3389,ICMP,238192,309099,1938,high,internal-only,BR,US
2026-03-12 17:31:27,FGT-02,DENY,203.0.113.88,198.11.150.21,59034,445,ICMP,387875,413709,290,low,internet-access,MX,DE
2026-03-12 11:10:32,FGT-03,DENY,45.33.32.156,2.114.241.2,42373,22,UDP,256082,649988,2052,medium,internet-access,MX,RU
2026-03-12 03:49:18,FGT-02,DROP,203.0.113.88,121.13.83.15,63471,53,TCP,376258,416340,2865,high,dmz-policy,CN,PA
2026-03-12 22:17:52,FGT-03,ALLOW,45.33.32.156,98.57.182.109,38006,80,UDP,331186,17528,1466,high,internet-access,DE,DE
2026-03-12 13:27:35,FGT-03,DENY,203.0.113.88,10.31.88.221,9312,53,UDP,402897,740103,1219,low,vpn-split,BR,PA
2026-03-12 06:47:06,FGT-01,DENY,81.24.72.156,10.193.206.229,8180,53,UDP,33684,855343,2004,low,vpn-split,GB,DE
2026-03-12 08:41:50,FGT-03,DENY,91.108.4.12,40.249.134.47,5877,3389,TCP,330290,83070,2790,high,vpn-split,RU,DE
2026-03-12 11:37:58,FGT-03,DENY,45.33.32.156,10.134.125.211,53269,443,TCP,359662,713466,622,medium,internet-access,US,KP
2026-03-12 07:00:47,FGT-01,RESET,10.0.1.20,10.143.172.206,54791,3389,ICMP,173924,977780,1923,high,dmz-policy,MX,MX
2026-03-12 01:40:57,FGT-03,ALLOW,146.124.107.225,10.22.21.153,24345,80,TCP,360054,147868,641,low,vpn-split,PA,BR
2026-03-12 00:28:22,FGT-01,DENY,77.88.55.60,125.34.92.111,54881,80,ICMP,269976,154114,1401,low,internet-access,MX,CN
2026-03-12 11:15:43,FGT-01,ALLOW,109.201.133.195,82.11.179.96,34440,8080,ICMP,347570,6449,1417,low,internet-access,RU,RU
2026-03-12 21:42:36,FGT-01,DROP,185.220.101.45,32.141.141.33,1873,3389,UDP,58477,29173,3367,medium,internal-only,GB,DE
2026-03-12 13:21:21,FGT-01,DROP,203.0.113.88,200.160.109.110,2783,22,UDP,406512,123469,2975,low,dmz-policy,RU,PA
2026-03-12 01:38:51,FGT-01,DROP,203.0.113.88,59.225.127.9,53789,445,ICMP,259211,277456,91,low,vpn-split,PA,PA
2026-03-12 15:37:46,FGT-02,DENY,185.220.101.45,26.66.214.29,41306,53,UDP,423262,554478,2210,low,internal-only,BR,MX
2026-03-12 08:07:10,FGT-01,ALLOW,10.10.5.100,3.80.102.144,13031,8080,TCP,469479,785568,1118,medium,internet-access,MX,RU
2026-03-12 04:02:11,FGT-01,ALLOW,89.248.167.131,10.0.192.48,33636,3389,ICMP,253460,244278,1178,low,internet-access,MX,GB
2026-03-12 01:25:35,FGT-02,DENY,45.33.32.156,192.74.100.179,34251,445,TCP,332595,387122,1165,high,internal-only,IN,CN
2026-03-12 23:54:12,FGT-03,ALLOW,109.201.133.195,10.125.19.46,46266,22,TCP,273041,519570,1484,low,dmz-policy,MX,MX
2026-03-12 23:13:17,FGT-02,ALLOW,112.107.21.216,95.140.177.22,36234,8080,TCP,260903,179371,2812,high,dmz-policy,PA,KP
2026-03-12 13:50:09,FGT-01,DENY,198.51.100.23,29.176.247.24,42992,445,UDP,443025,45063,2527,low,dmz-policy,MX,DE
2026-03-12 15:20:08,FGT-02,DENY,45.33.32.156,10.51.12.35,58040,443,UDP,66907,599239,423,low,internet-access,GB,PA
2026-03-12 01:38:36,FGT-01,DROP,185.220.101.45,10.138.223.199,10155,8080,ICMP,176527,892233,327,high,internet-access,DE,KP
2026-03-12 06:30:20,FGT-01,DROP,45.33.32.156,10.108.193.197,53803,3389,UDP,178889,505955,2185,low,internet-access,BR,DE
2026-03-12 10:18:20,FGT-03,DENY,198.51.100.23,10.224.146.233,50564,3389,UDP,303117,479287,1369,high,internal-only,GB,MX
2026-03-12 09:11:03,FGT-03,ALLOW,10.0.1.20,214.52.205.160,50611,445,UDP,348771,189950,3250,medium,dmz-policy,PA,CN
2026-03-12 05:48:24,FGT-01,DENY,185.220.101.45,10.99.189.132,35527,443,ICMP,120564,84872,3195,medium,vpn-split,GB,RU
2026-03-12 18:45:51,FGT-01,ALLOW,10.10.5.200,10.254.255.44,58740,8080,ICMP,230069,877290,1915,high,internal-only,GB,RU
2026-03-12 13:11:45,FGT-03,RESET,185.156.73.54,93.202.98.36,26562,80,TCP,412905,265457,1734,low,internal-only,CN,IN
2026-03-12 23:09:42,FGT-01,ALLOW,45.33.32.156,10.203.55.237,57375,8080,ICMP,3501,375576,196,critical,vpn-split,US,CN
2026-03-12 20:35:06,FGT-01,ALLOW,21.64.144.5,94.89.135.35,61772,80,UDP,247769,186010,820,critical,internal-only,GB,RU
2026-03-12 03:42:55,FGT-01,ALLOW,10.10.5.200,10.101.21.17,6780,443,UDP,363491,601722,2072,medium,vpn-split,RU,US
2026-03-12 05:09:39,FGT-01,ALLOW,112.107.21.216,106.160.251.113,49766,22,UDP,428122,608504,350,low,dmz-policy,KP,GB
2026-03-12 09:31:01,FGT-01,ALLOW,89.248.167.131,10.135.131.125,38169,22,UDP,339129,636495,2510,low,internet-access,GB,US
2026-03-12 00:22:41,FGT-02,DENY,91.108.4.12,10.162.47.135,57756,443,TCP,204481,419510,3321,low,internet-access,BR,DE
2026-03-12 23:35:25,FGT-02,DENY,203.0.113.88,10.181.190.191,12421,3389,UDP,456709,92367,3272,medium,internet-access,US,CN
2026-03-12 21:36:13,FGT-02,ALLOW,192.168.1.50,10.57.101.144,35464,53,ICMP,215600,218386,281,medium,internal-only,KP,US
2026-03-12 21:15:24,FGT-03,DENY,91.108.4.12,114.5.38.48,13604,8080,ICMP,406572,82017,3578,low,dmz-policy,IN,RU
2026-03-12 06:32:06,FGT-01,ALLOW,10.0.1.20,10.111.17.113,40937,80,TCP,150385,146262,308,low,vpn-split,RU,BR
